City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Bani Walid,LY,31.7566,13.9942,68.29,46,0,15.99,clear sky
155,Juneau,US,58.3019,-134.4197,60.84,71,4,3.98,clear sky
156,Banda Aceh,ID,5.5577,95.3222,80.73,80,100,9.28,overcast clouds
157,Cidreira,BR,-30.1811,-50.2056,61.84,63,0,8.03,clear sky
158,Malakal,SS,9.5334,31.6605,87.08,49,100,4.65,overcast clouds
159,Rosetta,EG,31.4044,30.4164,68.77,84,0,14.61,clear sky
160,Vilhena,BR,-12.7406,-60.1458,78.6,29,100,1.32,overcast clouds
161,Airai,TL,-8.9266,125.4092,57.72,91,48,3.91,scattered clouds
162,Upernavik,GL,72.7868,-56.1549,30.0,77,93,13.44,overcast clouds
163,Alice Springs,AU,-23.7,133.8833,42.35,93,0,0.0,clear sky
164,Turkistan,KZ,43.0,68.0,76.87,32,0,7.25,clear sky
165,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,5.75,broken clouds
166,Port Blair,IN,11.6667,92.75,83.26,79,100,17.74,overcast clouds
167,Matara,LK,5.9485,80.5353,77.56,92,30,8.41,scattered clouds
168,Cotonou,BJ,6.3654,2.4183,80.67,83,92,9.8,light rain
169,Victoria,HK,22.2855,114.1577,79.18,86,2,1.01,clear sky
170,Kavieng,PG,-2.5744,150.7967,81.43,78,86,10.58,light rain
171,Coquimbo,CL,-29.9533,-71.3436,64.47,66,100,9.35,overcast clouds
172,Haines Junction,CA,60.7522,-137.5108,53.62,53,1,1.5,clear sky
173,Aykhal,RU,66.0,111.5,34.14,95,100,0.89,overcast clouds
174,Port Alfred,ZA,-33.5906,26.891,61.77,73,100,7.29,light rain
175,Charlestown,AU,-32.95,151.6667,57.72,96,82,4.0,light rain
176,Goundi,TD,9.3627,17.366,86.29,51,88,9.91,overcast clouds
177,Kualakapuas,ID,-3.0091,114.3876,75.11,95,100,0.65,overcast clouds
178,Fortuna,US,40.5982,-124.1573,65.86,57,0,14.97,clear sky
179,Xuanwu,CN,32.069,118.8138,64.17,82,80,3.44,broken clouds
180,Terney,RU,45.0503,136.6092,45.1,96,41,3.18,scattered clouds
181,Kelapa Sawit,MY,1.6698,103.5327,76.24,91,27,1.79,scattered clouds
182,Vrangel,RU,42.7297,133.0839,51.35,86,16,1.3,few clouds
183,Hambantota,LK,6.1241,81.1185,79.14,100,20,6.91,few clouds
184,Areosa,PT,41.7178,-8.8571,70.54,65,99,14.16,overcast clouds
185,Lebu,CL,-37.6167,-73.65,54.88,84,27,8.86,scattered clouds
186,Ngunguru,NZ,-35.6167,174.5,55.45,67,17,12.97,few clouds
187,Salalah,OM,17.0151,54.0924,81.23,81,21,2.84,few clouds
188,Lompoc,US,34.6391,-120.4579,72.7,66,8,7.0,clear sky
189,Miles City,US,46.4083,-105.8406,43.77,70,100,28.77,overcast clouds
190,Kamenka,RU,51.3223,42.7678,41.02,77,11,6.85,few clouds
191,Caravelas,BR,-17.7125,-39.2481,72.91,62,0,6.4,clear sky
192,Boende,CD,-0.2167,20.8667,70.93,99,100,1.88,overcast clouds
193,Payakumbuh,ID,-0.2202,100.6308,71.38,97,100,3.15,light rain
194,Vanavara,RU,60.34,102.2797,49.71,89,100,4.32,overcast clouds
195,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.69,55,61,11.43,broken clouds
196,Camocim,BR,-2.9022,-40.8411,82.2,79,81,5.08,moderate rain
197,Umm Kaddadah,SD,13.6017,26.6876,87.67,9,22,12.73,few clouds
198,Bereda,ES,43.2686,-7.5406,63.41,76,93,6.35,overcast clouds
199,Lorengau,PG,-2.0226,147.2712,81.01,79,100,8.34,overcast clouds
200,Manadhoo,MV,5.7667,73.3833,83.05,78,60,14.34,broken clouds
201,Lavrentiya,RU,65.5833,-171.0,34.38,91,72,6.73,broken clouds
202,Ahipara,NZ,-35.1667,173.1667,57.33,66,97,14.81,overcast clouds
203,Luanda,AO,-8.8368,13.2343,72.95,86,0,11.25,clear sky
204,Mount Isa,AU,-20.7333,139.5,65.97,68,0,9.22,clear sky
205,Namatanai,PG,-3.6667,152.4333,78.58,82,30,5.5,scattered clouds
206,Calabozo,VE,8.9242,-67.4293,92.17,38,34,10.49,scattered clouds
207,Miyako,JP,39.6367,141.9525,57.45,60,98,5.37,overcast clouds
208,Nabire,ID,-3.3667,135.4833,75.33,91,44,2.98,scattered clouds
209,Mountain Home,US,43.133,-115.6912,56.62,31,13,11.63,few clouds
210,Champerico,GT,14.3,-91.9167,85.93,65,100,7.83,overcast clouds
211,Nome,US,64.5011,-165.4064,60.12,50,31,13.69,scattered clouds
212,Oistins,BB,13.0667,-59.5333,80.85,69,31,17.4,scattered clouds
213,Ginda,IN,30.6945,78.4932,64.33,30,0,8.43,clear sky
214,Darnah,LY,32.767,22.6367,64.63,70,0,20.11,clear sky
215,Darayya,SY,33.459,36.2374,74.16,25,10,3.71,clear sky
216,Sao Filipe,CV,14.8961,-24.4956,74.16,73,17,10.78,few clouds
217,Cherskiy,RU,68.75,161.3,48.29,61,6,16.13,clear sky
