City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Colares,PT,81.59,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
550,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
552,Karimpur,IN,86.0,light rain,23.9667,88.6167,gabrudanga jumma masjid
553,Makaha,US,76.91,light rain,21.4694,-158.2175,Hawaiian Princess Resort
559,Mana,GF,79.45,scattered clouds,5.6592,-53.7767,LE SAMANA
560,Robertsport,LR,80.38,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
568,Baracoa,CU,88.39,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
572,Touros,BR,83.01,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
575,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
576,Suriapet,IN,82.06,overcast clouds,17.15,79.6167,MNR Lodge and Restaurant
578,Puerto Cabezas,NI,84.96,overcast clouds,14.0351,-83.3888,Cabaña Caribe
579,Sungairaya,ID,78.48,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
581,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
582,Majene,ID,76.84,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
587,Manggar,ID,79.95,overcast clouds,-2.8833,108.2667,Guest Hotel
589,Broome,US,81.37,broken clouds,42.2506,-75.833,Chenango Valley State Park
591,Sri Aman,MY,77.05,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
592,Pimenta Bueno,BR,78.24,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
596,Fort Myers Beach,US,89.04,clear sky,26.452,-81.9481,Lani Kai Island Resort
602,Brewster,US,76.19,few clouds,41.3973,-73.6171,Heidi's Inn
604,Neiafu,TO,79.07,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
606,Meadville,US,77.86,overcast clouds,41.6414,-80.1515,"Holiday Inn Express Meadville (I-79 Exit 147A), an IHG Hotel"
608,Roxas,PH,75.15,moderate rain,11.5853,122.7511,Urban Manor Hotel
609,Biankouma,CI,75.69,light rain,7.7391,-7.6138,Hôtel Licolais
612,Pasni,PK,82.51,clear sky,25.2631,63.471,Kashmiri Hotal
613,Pemangkat,ID,78.67,overcast clouds,1.1667,108.9667,Ramah Kost KITA
614,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
616,Anloga,GH,82.67,light rain,5.7947,0.8973,Pin Drop Hotel
617,Hobyo,SO,80.1,broken clouds,5.3505,48.5268,Iftin hotel hobyo
625,Morgan City,US,88.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
626,Point Fortin,TT,88.9,clear sky,10.1833,-61.6833,Jus Les' Suites
630,Turiacu,BR,79.11,overcast clouds,-1.6633,-45.3717,Pousada Maranata
634,Trincomalee,LK,81.95,overcast clouds,8.5711,81.2335,Welcombe Hotel
635,Bubaque,GW,79.32,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
636,Pedernales,DO,89.42,scattered clouds,18.0384,-71.744,Hotel Costa Marina
639,Salinopolis,BR,78.53,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
645,Mehriz,IR,77.5,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
646,Conway,US,87.82,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
647,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
654,Balabac,PH,81.36,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
663,Iracoubo,GF,79.0,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
664,Nhulunbuy,AU,75.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
672,Tarancon,ES,82.22,overcast clouds,40.0085,-3.0073,hotel castilla
673,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
