City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,East London,ZA,2022-05-09 20:35:59,-33.0153,27.9116,62.73,73,7,4.9
168,Winslow,US,2022-05-09 20:32:06,35.0242,-110.6974,78.98,9,0,31.07
169,Longonjo,AO,2022-05-09 20:36:00,-12.9067,15.2533,64.81,63,32,2.46
170,Codrington,AU,2022-05-09 20:36:00,-38.2667,141.9667,44.35,84,7,5.95
171,Balykshi,KZ,2022-05-09 20:36:01,47.0667,51.8667,48.2,100,100,20.13
172,Sorland,NO,2022-05-09 20:36:01,67.667,12.6934,42.66,96,100,29.48
173,Sicuani,PE,2022-05-09 20:36:02,-14.2694,-71.2261,58.68,33,13,9.24
174,Porto Velho,BR,2022-05-09 20:32:22,-8.7619,-63.9039,80.65,83,75,2.3
175,Moindou,NC,2022-05-09 20:36:03,-21.6924,165.677,73.17,72,55,3.98
176,Bathsheba,BB,2022-05-09 20:36:04,13.2167,-59.5167,84.81,70,20,13.8
177,San Patricio,US,2022-05-09 20:37:04,28.017,-97.5169,91.49,55,2,20.89
178,Pingliang,CN,2022-05-09 20:37:05,35.5392,106.6861,49.48,89,78,4.79
179,Goundi,TD,2022-05-09 20:37:05,9.3627,17.366,91.2,32,100,3.51
180,Yabrud,SY,2022-05-09 20:37:06,33.9674,36.6574,55.18,38,1,4.83
181,Te Anau,NZ,2022-05-09 20:37:07,-45.4167,167.7167,44.06,90,26,2.08
182,Hakodate,JP,2022-05-09 20:37:08,41.7758,140.7367,47.64,73,0,6.46
183,Semenivka,UA,2022-05-09 20:37:09,52.1783,32.5818,39.94,64,1,7.65
184,Seymchan,RU,2022-05-09 20:37:09,62.8833,152.4333,32.58,71,56,3.04
185,Santa Rosalia,MX,2022-05-09 20:37:10,27.3167,-112.2833,80.42,31,0,4.47
186,Madinat Sittah Uktubar,EG,2022-05-09 20:37:10,29.8167,31.05,73.0,47,0,15.32
187,Ilulissat,GL,2022-05-09 20:37:11,69.2167,-51.1,26.62,93,75,10.36
188,Leningradskiy,RU,2022-05-09 20:37:13,69.3833,178.4167,23.4,83,53,7.45
189,Raudeberg,NO,2022-05-09 20:37:13,61.9875,5.1352,51.96,44,100,22.79
190,Mount Gambier,AU,2022-05-09 20:37:15,-37.8333,140.7667,35.51,93,19,0.0
191,Margate,GB,2022-05-09 20:37:15,51.3813,1.3862,60.87,63,100,3.0
192,Real,PH,2022-05-09 20:37:16,14.6625,121.6047,78.84,88,30,6.91
193,Hambantota,LK,2022-05-09 20:37:16,6.1241,81.1185,81.34,82,100,19.46
194,Maues,BR,2022-05-09 20:37:17,-3.3836,-57.7186,78.15,94,96,1.48
195,Sibiti,CG,2022-05-09 20:37:17,-3.6819,13.3499,71.55,96,100,2.06
196,Bundaberg,AU,2022-05-09 20:37:18,-24.85,152.35,68.29,99,100,13.8
197,Yulara,AU,2022-05-09 20:37:19,-25.2406,130.9889,48.04,53,0,10.36
198,Bredasdorp,ZA,2022-05-09 20:37:19,-34.5322,20.0403,53.8,83,66,4.47
199,Praia,CV,2022-05-09 20:37:20,14.9215,-23.5087,73.94,73,75,18.41
200,Wuwei,CN,2022-05-09 20:37:20,37.9281,102.6414,61.25,38,98,7.87
201,Lashio,MM,2022-05-09 20:37:21,22.9333,97.75,68.32,97,100,1.12
202,Broome,US,2022-05-09 20:37:21,42.2506,-75.833,72.37,19,0,11.5
203,Deputatskiy,RU,2022-05-09 20:37:22,69.3,139.9,12.06,88,99,7.9
204,Westport,US,2022-05-09 20:32:59,41.1415,-73.3579,72.73,14,0,14.97
205,Americus,US,2022-05-09 20:33:30,32.0724,-84.2327,73.53,46,0,6.91
206,Vila Franca Do Campo,PT,2022-05-09 20:37:23,37.7167,-25.4333,64.81,77,1,3.96
207,Marawi,PH,2022-05-09 20:37:23,7.9986,124.2928,70.07,93,98,1.48
208,Linxia,CN,2022-05-09 20:37:24,35.6003,103.2064,53.94,42,74,2.68
209,Amot,NO,2022-05-09 20:37:24,59.5714,7.9877,44.13,53,100,5.73
210,Port Macquarie,AU,2022-05-09 20:37:25,-31.4333,152.9167,54.9,81,91,5.41
211,San Andres,CO,2022-05-09 20:37:26,12.5847,-81.7006,86.02,74,40,9.22
212,Capoterra,IT,2022-05-09 20:37:26,39.1763,8.9718,62.31,83,0,3.44
213,Iracoubo,GF,2022-05-09 20:37:27,5.4802,-53.2011,78.62,84,13,9.8
214,Thompson,CA,2022-05-09 20:33:45,55.7435,-97.8558,62.76,48,40,5.75
215,Buala,SB,2022-05-09 20:37:28,-8.145,159.5921,82.49,82,61,9.89
216,Iqaluit,CA,2022-05-09 20:37:28,63.7506,-68.5145,33.53,86,100,4.61
217,Aksu,CN,2022-05-09 20:37:29,41.1231,80.2644,73.63,25,4,4.14
218,Sisimiut,GL,2022-05-09 20:37:29,66.9395,-53.6735,30.65,97,100,25.59
219,Kokopo,PG,2022-05-09 20:37:30,-4.352,152.2633,79.75,76,86,1.41
220,Nortelandia,BR,2022-05-09 20:37:30,-14.4547,-56.8028,84.43,49,47,3.31
221,Kovdor,RU,2022-05-09 20:37:31,67.5662,30.4758,35.33,85,100,11.43
222,Bambous Virieux,MU,2022-05-09 20:37:31,-20.3428,57.7575,74.21,94,40,1.14
223,Botwood,CA,2022-05-09 20:37:32,49.1499,-55.3482,49.89,37,0,5.93
224,Xining,CN,2022-05-09 20:38:32,36.6167,101.7667,52.3,60,100,2.71
225,Los Llanos De Aridane,ES,2022-05-09 20:38:33,28.6585,-17.9182,66.13,91,0,11.5
226,Vestmannaeyjar,IS,2022-05-09 20:38:33,63.4427,-20.2734,46.9,81,100,4.21
227,Vanavara,RU,2022-05-09 20:38:34,60.34,102.2797,24.93,92,63,2.95
228,Krasnogvardeyets,RU,2022-05-09 20:38:34,52.6804,52.3635,49.69,93,100,13.44
229,Bubaque,GW,2022-05-09 20:38:35,11.2833,-15.8333,78.08,82,37,13.53
230,Lasa,IT,2022-05-09 20:38:35,46.6166,10.7002,58.08,94,81,1.16
231,Port Hardy,CA,2022-05-09 20:38:36,50.6996,-127.4199,51.8,81,75,8.05
232,Kavarna,BG,2022-05-09 20:38:36,43.4333,28.3333,51.28,98,5,4.29
233,Grindavik,IS,2022-05-09 20:38:37,63.8424,-22.4338,49.95,81,20,12.66
234,Fomboni,KM,2022-05-09 20:38:37,-12.28,43.7425,81.99,75,37,16.78
235,San Policarpo,PH,2022-05-09 20:38:38,12.1791,125.5072,80.28,84,100,10.38
236,Tautira,PF,2022-05-09 20:38:38,-17.7333,-149.15,81.05,77,40,12.86
237,Severo-Kurilsk,RU,2022-05-09 20:38:39,50.6789,156.125,38.25,87,100,15.95
238,Sola,VU,2022-05-09 20:38:39,-13.8833,167.55,81.28,76,28,25.17
239,Padang,ID,2022-05-09 20:38:40,-0.9492,100.3543,79.41,84,100,3.29
240,Ambilobe,MG,2022-05-09 20:38:40,-13.2,49.05,72.54,93,5,2.98
